ID,Name,Type,Buy,Sell,Weight,Attack,Defense,Slots,Refineable
905,Stem,Etc,46,23,1.0,0,0,0,Yes
906,Pointed Scale,Etc,68,34,1.0,0,0,0,Yes
907,Resin,Etc,120,60,1.0,0,0,0,Yes
908,Spawn,Etc,140,70,1.0,0,0,0,Yes
909,Jellopy,Etc,6,3,1.0,0,0,0,Yes
910,Garlet,Etc,40,20,1.0,0,0,0,Yes
911,Scell,Etc,160,80,1.0,0,0,0,Yes
912,Zargon,Etc,480,240,1.0,0,0,0,Yes
913,Tooth of Bat,Etc,34,17,1.0,0,0,0,Yes
914,Fluff,Etc,8,4,1.0,0,0,0,Yes
915,Chrysalis,Etc,8,4,1.0,0,0,0,Yes
916,Feather of Birds,Etc,10,5,1.0,0,0,0,Yes
917,Talon,Etc,20,10,1.0,0,0,0,Yes
918,Sticky Webfoot,Etc,20,10,1.0,0,0,0,Yes
919,Animal Skin,Etc,36,18,1.0,0,0,0,Yes
920,Wolf Claw,Etc,58,29,1.0,0,0,0,Yes
921,Mushroom Spore,Etc,36,18,1.0,0,0,0,Yes
922,Orc's Fang,Etc,220,110,1.0,0,0,0,Yes
923,Evil Horn,Etc,"1,200",600,1.0,0,0,0,Yes
924,Powder of Butterfly,Etc,90,45,1.0,0,0,0,Yes
925,Bill of Birds,Etc,64,32,1.0,0,0,0,Yes
926,Snake Scale,Etc,82,41,1.0,0,0,0,Yes
928,Insect Feeler,Etc,114,57,1.0,0,0,0,Yes
929,Immortal Heart,Etc,374,187,1.0,0,0,0,Yes
930,Rotten Bandage,Etc,350,175,1.0,0,0,0,Yes
931,Orcish Voucher,Etc,142,71,1.0,0,0,0,Yes
932,Skel-Bone,Etc,232,116,1.0,0,0,0,Yes
934,Memento,Etc,600,300,1.0,0,0,0,Yes
935,Shell,Etc,14,7,1.0,0,0,0,Yes
936,Scale Shell,Etc,466,233,1.0,0,0,0,Yes
937,Venom Canine,Etc,148,74,1.0,0,0,0,Yes
938,Sticky Mucus,Etc,70,35,1.0,0,0,0,Yes
939,Bee Sting,Etc,32,16,1.0,0,0,0,Yes
940,Grasshopper's Leg,Etc,36,18,1.0,0,0,0,Yes
941,Nose Ring,Etc,568,284,1.0,0,0,0,Yes
942,Yoyo Tail,Etc,114,57,1.0,0,0,0,Yes
943,Solid Shell,Etc,448,224,1.0,0,0,0,Yes
944,Horseshoe,Etc,588,294,1.0,0,0,0,Yes
945,Raccoon Leaf,Etc,106,53,1.0,0,0,0,Yes
946,Snail's Shell,Etc,64,32,1.0,0,0,0,Yes
947,Horn,Etc,116,58,1.0,0,0,0,Yes
948,Bear's Footskin,Etc,174,87,1.0,0,0,0,Yes
949,Feather,Etc,20,10,1.0,0,0,0,Yes
950,Heart of Mermaid,Etc,264,132,1.0,0,0,0,Yes
951,Fin,Etc,412,206,1.0,0,0,0,Yes
952,Cactus Needle,Etc,82,41,1.0,0,0,0,Yes
953,Stone Heart,Etc,184,92,1.0,0,0,0,Yes
954,Shining Scale,Etc,466,233,1.0,0,0,0,Yes
955,Worm Peeling,Etc,52,26,1.0,0,0,0,Yes
956,Gill,Etc,342,171,1.0,0,0,0,Yes
957,Decayed Nail,Etc,82,41,1.0,0,0,0,Yes
958,Horrendous Mouth,Etc,390,195,1.0,0,0,0,Yes
959,Stinky Scale,Etc,168,84,1.0,0,0,0,Yes
960,Nipper,Etc,114,57,1.0,0,0,0,Yes
961,Conch,Etc,158,79,1.0,0,0,0,Yes
962,Tentacle,Etc,70,35,1.0,0,0,0,Yes
963,Sharp Scale,Etc,250,125,1.0,0,0,0,Yes
964,Crab Shell,Etc,90,45,1.0,0,0,0,Yes
965,Clam Shell,Etc,56,28,1.0,0,0,0,Yes
966,Clam Flesh,Etc,158,79,1.0,0,0,0,Yes
967,Turtle Shell,Etc,680,340,1.0,0,0,0,Yes
968,Heroic Emblem,Etc,"3,000","1,500",1.0,0,0,0,Yes
969,Gold,Etc,"200,000","100,000",20.0,0,0,0,Yes
970,Alcohol,Etc,400,200,3.0,0,0,0,Yes
971,Detrimindexta,Etc,400,200,3.0,0,0,0,Yes
972,Karvodailnirol,Etc,400,200,3.0,0,0,0,Yes
973,Counteragent,Etc,800,400,7.0,0,0,0,Yes
974,Mixture,Etc,800,400,7.0,0,0,0,Yes
975,Scarlet Dyestuffs,Etc,"8,000","4,000",15.0,0,0,0,Yes
976,Lemon Dyestuffs,Etc,"8,000","4,000",15.0,0,0,0,Yes
978,Cobaltblue Dyestuffs,Etc,"8,000","4,000",15.0,0,0,0,Yes
979,Darkgreen Dyestuffs,Etc,"8,000","4,000",15.0,0,0,0,Yes
980,Orange Dyestuffs,Etc,"8,000","4,000",15.0,0,0,0,Yes
981,Violet Dyestuffs,Etc,"8,000","4,000",15.0,0,0,0,Yes
982,White Dyestuffs,Etc,"8,000","4,000",15.0,0,0,0,Yes
983,Black Dyestuffs,Etc,"8,000","4,000",15.0,0,0,0,Yes
984,Oridecon,Etc,"1,100",550,20.0,0,0,0,Yes
985,Elunium,Etc,"1,100",550,20.0,0,0,0,Yes
986,Anvil,Etc,"30,000","15,000",50.0,0,0,0,Yes
987,Oridecon Anvil,Etc,"120,000","60,000",70.0,0,0,0,Yes
988,Golden Anvil,Etc,"300,000","150,000",90.0,0,0,0,Yes
989,Emperium Anvil,Etc,"600,000","300,000",100.0,0,0,0,Yes
990,Red Blood,Etc,"1,000",500,5.0,0,0,0,Yes
991,Crystal Blue,Etc,"1,000",500,5.0,0,0,0,Yes
992,Wind of Verdure,Etc,"1,000",500,5.0,0,0,0,Yes
993,Green Live,Etc,"1,000",500,5.0,0,0,0,Yes
994,Flame Heart,Etc,"3,000","1,500",30.0,0,0,0,Yes
995,Mystic Frozen,Etc,"3,000","1,500",30.0,0,0,0,Yes
996,Rough Wind,Etc,"3,000","1,500",30.0,0,0,0,Yes
997,Great Nature,Etc,"3,000","1,500",30.0,0,0,0,Yes
998,Iron,Etc,100,50,5.0,0,0,0,Yes
999,Steel,Etc,"1,000",500,10.0,0,0,0,Yes
1000,Star Crumb,Etc,"4,500","2,250",10.0,0,0,0,Yes
1001,Star Dust,Etc,"1,500",750,1.0,0,0,0,Yes
1002,Iron Ore,Etc,50,25,15.0,0,0,0,Yes
1003,Coal,Etc,500,250,5.0,0,0,0,Yes
1004,Chivalry Emblem,Etc,2,1,10.0,0,0,0,Yes
1005,Hammer of Blacksmith,Etc,2,1,80.0,0,0,0,Yes
1006,Old Magicbook,Etc,2,1,3.0,0,0,0,Yes
1007,Necklace of Wisdom,Etc,2,1,4.0,0,0,0,Yes
1008,Necklace of Oblivion,Etc,2,1,10.0,0,0,0,Yes
1009,Hand of God,Etc,2,1,2.0,0,0,0,Yes
1010,Phracon,Etc,200,100,20.0,0,0,0,Yes
1011,Emveretarcon,Etc,"1,000",500,20.0,0,0,0,Yes
1012,Frill,Etc,250,125,1.0,0,0,0,Yes
1013,Rainbow Shell,Etc,90,45,1.0,0,0,0,Yes
1014,Ant Jaw,Etc,232,116,1.0,0,0,0,Yes
1015,Tongue,Etc,528,264,1.0,0,0,0,Yes
1016,Rat Tail,Etc,52,26,1.0,0,0,0,Yes
1017,Mole Whiskers,Etc,106,53,1.0,0,0,0,Yes
1018,Mole Claw,Etc,210,105,1.0,0,0,0,Yes
1019,Trunk,Etc,60,30,1.0,0,0,0,Yes
1020,Black Hair,Etc,292,146,1.0,0,0,0,Yes
1021,Dokebi Horn,Etc,292,146,1.0,0,0,0,Yes
1022,Nine Tails,Etc,650,325,1.0,0,0,0,Yes
1023,Fish Tail,Etc,196,98,1.0,0,0,0,Yes
1024,Squid Ink,Etc,264,132,1.0,0,0,0,Yes
1025,Cobweb,Etc,184,92,1.0,0,0,0,Yes
1026,Acorn,Etc,98,49,1.0,0,0,0,Yes
1027,Porcupine Quill,Etc,158,79,1.0,0,0,0,Yes
1028,Mane,Etc,196,98,1.0,0,0,0,Yes
1029,Tiger Skin,Etc,548,274,1.0,0,0,0,Yes
1030,Tiger's Footskin,Etc,"1,500",750,1.0,0,0,0,Yes
1031,Mantis Scythe,Etc,196,98,1.0,0,0,0,Yes
1032,Maneater Blossom,Etc,196,98,1.0,0,0,0,Yes
1033,Maneater Root,Etc,208,104,1.0,0,0,0,Yes
1034,Blue Hair,Etc,342,171,1.0,0,0,0,Yes
1035,Dragon Canine,Etc,484,242,1.0,0,0,0,Yes
1036,Dragon Scale,Etc,500,250,1.0,0,0,0,Yes
1037,Dragon Tail,Etc,"1,200",600,1.0,0,0,0,Yes
1038,Little Evil Horn,Etc,528,264,1.0,0,0,0,Yes
1039,Little Evil Wing,Etc,"2,000","1,000",1.0,0,0,0,Yes
1040,Elder Pixie's Moustache,Etc,232,116,1.0,0,0,0,Yes
1041,Lantern,Etc,250,125,1.0,0,0,0,Yes
1042,Bug Leg,Etc,430,215,1.0,0,0,0,Yes
1043,Orc Claw,Etc,168,84,1.0,0,0,0,Yes
1044,Zenorc's Fang,Etc,264,132,1.0,0,0,0,Yes
1045,Cultish Masque,Etc,412,206,1.0,0,0,0,Yes
1046,Scorpion Nipper,Etc,614,307,1.0,0,0,0,Yes
1047,Dead Medusa,Etc,548,274,1.0,0,0,0,Yes
1048,Horrendous Hair,Etc,800,400,1.0,0,0,0,Yes
1049,Skirt of Virgin,Etc,"1,700",850,1.0,0,0,0,Yes
1050,Tendon,Etc,220,110,1.0,0,0,0,Yes
1051,Detonator,Etc,450,225,1.0,0,0,0,Yes
1052,Single Cell,Etc,46,23,1.0,0,0,0,Yes
1053,Ancient Tooth,Etc,548,274,1.0,0,0,0,Yes
1054,Ancient Lips,Etc,"1,000",500,1.0,0,0,0,Yes
1055,Earthworm Peeling,Etc,196,98,1.0,0,0,0,Yes
1056,Grit,Etc,306,153,1.0,0,0,0,Yes
1057,Moth Dust,Etc,138,69,1.0,0,0,0,Yes
1058,Moth Wings,Etc,200,100,1.0,0,0,0,Yes
1059,Fabric,Etc,306,153,1.0,0,0,0,Yes
1060,Golden Hair,Etc,430,215,1.0,0,0,0,Yes
1061,Witched Starsand,Etc,484,242,1.0,0,0,0,Yes
1062,Jack o' Pumpkin,Etc,374,187,1.0,0,0,0,Yes
1063,Fang,Etc,680,340,1.0,0,0,0,Yes
1064,Reins,Etc,802,401,1.0,0,0,0,Yes
1065,Trap,Etc,100,50,1.0,0,0,0,Yes
1066,Fine-grained Trunk,Etc,2,1,1.0,0,0,0,Yes
1067,Solid Trunk,Etc,2,1,1.0,0,0,0,Yes
1068,Barren Trunk,Etc,2,1,1.0,0,0,0,Yes
1069,Orange Net Mushroom,Etc,2,1,1.0,0,0,0,Yes
1070,Orange Gooey Mushroom,Etc,2,1,1.0,0,0,0,Yes
1071,Unknown Test Tube,Etc,0,0,1.0,0,0,0,Yes
1072,Delivery Message,Etc,0,0,1.0,0,0,0,Yes
1073,Voucher,Etc,0,0,1.0,0,0,0,Yes
1074,Voucher,Etc,0,0,1.0,0,0,0,Yes
1075,Voucher,Etc,0,0,1.0,0,0,0,Yes
1076,Voucher,Etc,0,0,1.0,0,0,0,Yes
1077,Voucher,Etc,0,0,1.0,0,0,0,Yes
